x,y,z,t,pos,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
553899.1461,5645493.971,27.35,43013.76,29.06912997,16.53393959,8.49451783,35.42055572,16.9104646,46.69337666,28.70136823,0.892913708,0.796558303,0.88246614,0.017703351,1.242891396,-2.843997398
553899.2729,5645493.787,27.35,43013.65,29.29258967,16.63393959,8.49451783,35.42055572,16.9104646,46.39337666,28.70136823,0.892913708,0.796558303,0.88246614,0.017703351,1.242891396,-2.873997398
553899.4292,5645493.561,27.35,43013.55,29.56737266,16.63393959,8.69451783,35.42055572,16.8104646,46.69337666,28.50136823,0.892913708,0.796558303,0.88246614,0.027703351,1.232891396,-2.883997398
553899.5723,5645493.354,27.35,43013.45,29.81902045,16.03393959,9.09451783,35.02055572,16.6104646,46.69337666,28.20136823,0.892913708,0.816558303,0.87246614,0.037703351,1.232891396,-2.883997398
553899.7123,5645493.152,27.35,43013.34,30.0647927,15.53393959,9.09451783,34.52055572,16.3104646,46.69337666,27.90136823,0.882913708,0.816558303,0.86246614,0.047703351,1.222891396,-2.853997398
553899.8734,5645492.92,27.35,43013.24,30.3472413,15.43393959,8.69451783,34.52055572,16.1104646,46.39337666,27.90136823,0.882913708,0.816558303,0.86246614,0.067703351,1.222891396,-2.783997398
553900.01,5645492.724,27.3536456,43013.15,30.58614622,15.53393959,7.69451783,34.52055572,15.7104646,46.09337666,27.70136823,0.882913708,0.806558303,0.87246614,0.067703351,1.212891396,-2.693997398
553900.1236,5645492.56,27.3536456,43013.06,30.785648,15.53393959,7.69451783,34.32055572,15.4104646,45.99337666,27.50136823,0.882913708,0.806558303,0.87246614,0.067703351,1.222891396,-2.633997398
553900.3775,5645492.196,27.3702125,43012.9,31.22945112,15.43393959,7.49451783,34.02055572,15.2104646,45.89337666,27.30136823,0.882913708,0.806558303,0.87246614,0.057703351,1.222891396,-2.613997398
553900.494,5645492.029,27.3767279,43012.8,31.43307148,15.13393959,7.49451783,33.72055572,15.0104646,45.99337666,27.50136823,0.882913708,0.806558303,0.87246614,0.057703351,1.222891396,-2.653997398
