,x,y,EC_0.60,EC_1.00,EC_end
14886,107759.561,183298.561,35.3770346097766,50.72282398847453,64.49124837558003
14887,107759.409,183298.788,33.97705299374675,49.197358205856425,62.956975744711585
14888,107759.302,183298.947,32.778114142027825,48.25312653997006,62.366625236996924
14889,107759.118,183299.223,31.6684419248878,47.17072177550414,61.33642010195063
14890,107758.965,183299.452,30.799797790455408,46.31919717572597,60.56523513460914
14891,107758.781,183299.727,30.012794078905365,45.536699395418,59.832147731230435
14892,107758.627,183299.956,29.330279749290224,44.814453667452845,59.1023002046879
14893,107758.459,183300.208,28.77341070967091,43.78642489627452,57.60246604914186
14894,107758.326,183300.406,28.250938172448954,43.04156484698267,56.68169190700396
14895,107758.185,183300.618,27.831705968960243,42.67516472979977,56.41091291047864
14896,107758.028,183300.853,27.721246906495157,42.228758606200024,55.67610788886539
14897,107757.847,183301.123,27.758443479375494,41.66979669716686,54.51690749568614
14898,107757.708,183301.331,27.859034685871073,41.3811653818076,53.813771990042824
14899,107757.526,183301.605,27.92348884051494,41.15990697900994,53.280131331095596
14900,107757.391,183301.808,28.032432179061296,41.08060711345955,52.99264917763978
14901,107757.267,183301.994,28.04225325395648,41.01948575385852,52.85174756637617
14902,107757.085,183302.268,27.947115939244412,40.904803991031585,52.71683366287982
14903,107756.948,183302.474,27.849490192760527,40.741357631607784,52.494426559643635
14904,107756.781,183302.725,27.664366992446173,40.50881996778799,52.21952404360342
14905,107756.696,183302.853,27.598903520180972,40.41077367626833,52.1091059399819
14906,107756.563,183303.055,27.467220270574764,40.26627820211642,51.9645200887893
14907,107756.405,183303.293,27.36782275863351,40.13253156228725,51.80121025811823
14908,107756.228,183303.56,27.331511657027576,39.86892149115524,51.287067520929064
14909,107756.08,183303.784,27.281623530109602,39.56976333671578,50.72115023104934
14910,107755.933,183304.006,27.17475912769054,39.21963054218977,50.117195573621736
14911,107755.798,183304.211,27.103376466017966,39.1541334575924,50.04711817725079
14912,107755.62,183304.479,27.340889070644867,38.85166368871422,49.17243639408029
14913,107755.499,183304.663,27.431468928644307,38.55736654664154,48.4795678100079
14914,107755.319,183304.935,27.398803293968957,38.41533336534774,48.25838998475501
14915,107755.184,183305.14,27.251795837461188,38.23960548735203,48.06357398689211
14916,107754.412,183306.304,26.996862756077764,37.3981172957977,46.63674463463592
14917,107754.283,183306.497,27.00426636743888,37.11397172423328,46.06492499894522
14918,107754.159,183306.684,27.039992518946736,37.06210952174016,45.92775749630084
14919,107754.032,183306.874,27.048908144317608,37.201173550904684,46.180324256233845
